linea,referencia,color,talla,producto,descripcion,tela,detalles
DEPORTIVO,66458,03 NEGRO,S-M-L-XL,LEGGINS,"La versatilidad para el día a día se combina con el estilo clásico en este legging largo de silueta ajustada, que cuenta con una cintura anatómica libre de elásticos y un diseño de talle alto que te brinda un ajuste perfecto, para que pongas a prueba tus limites. Su tejido genera mayor compresión y control manteniendo su forma.",VERONA,Silueta ajustada Cintura anatómica sin elástico. Tejido de compresión y control. Transpirable. Secado rápido.  Talle alto. Menos costuras. Diseño minimalista en laterales. Composición: 83% Poliester - 17% Elastano.
DEPORTIVO,66584,03 NEGRO,S-M-L-XL,BIKER,"Este ciclista básico de es perfecto para los esenciales de tu guardarropa, su silueta ajustada y flexible permite que estas licras se muevan con la misma libertad que tú, cuenta con una cintura anatómica libre de elásticos y un diseño de talle alto. Su tejido transpirable cuenta con tecnología de secado rápido y genera mayor compresión y control manteniendo su forma.",VERONA,Silueta ajustada. Largo medio. Cintura anatómica sin elástico. Tejido de compresión y control. Transpirable. Secado rápido.  Talle alto. Menos costuras. Composición: 83% Poliester - 17% Elastano.
DEPORTIVO,65184,03 NEGRO 66 VERDE MILITAR,S-M-L,BIKER,"Marca tu mejor ritmo con este ciclista medio de silueta ajustada. Cuenta con fajón ancho y banda elástica en posterior, y su talle alto permite que la prenda te envuelva con la comodidad y elasticidad. Su tejido con tecnología transpirable y secado rápido ayuda a mantener tu piel seca en todo momento.",VERONA,Silueta ajustada. Largo corto/medio. Fajón ancho. Banda elástica en posterior. Tejido de compresión y control. Transpirable. Secado rápido.  Talle alto. Menos costuras. Composición: 83% Poliester - 17% Elastano.
DEPORTIVO,63766,00 BLANCO 03 NEGRO 83 VERDE NEON 88 FUCSIA NEON,S-M-L,TOP,"Cuando tu mente y tu cuerpo están en sintonía, entrenar resulta más fácil. Este top deportivo básico de soporte medio tiene doble tela en frente que evita transparencias, elástico en base y cargaderas anchas, está diseñado para minimizar las molestias y maximizar tu concentración mientras corres o entrenas. Su tejido ligero con tecnología Laftech cuenta con absorción y secado rápido, mayor elasticidad ajuste y Comfort y protección UV, todo esto mientras los colores de tus prendas se mantienen vividos por mucho mas tiempo.",POL-SPX ACTION BASE 3723,"Silueta ajustada. Escote redondo. Doble tela en frente con cargaderas anchas y elástico en base. Tecnologia Laftech . Colores vivos mas tiempo. Protección UV . Absorción y secado rápido. Ajuste, elasticidad y comfort de movimiento. Composición: 15% Lycra - 85% Poliester."
DEPORTIVO,65178,03 NEGRO,S-M-L-XL,LEGGINS,"Luce un estilo deportivo con un toque minimalista en este leggin largo de silueta ajustada, con fajón ancho y banda elástica en posterior, y su diseño de talle alto permite que la prenda te envuelva con comodidad y  su elasticidad te brinda un ajuste perfecto. Con bandas reflexivas en la pierna para mayor visibilidad en las noches y su tejido cuenta con tecnología transpirable y secado rápido para mayor frescura.",VERONA,Silueta ajustada. Fajón ancho. Banda elástica en posterior. Tejido de compresión y control. Transpirable. Secado rápido.  Bandas reflectivas. Talle alto. Menos costuras. Composición: 83% Poliester - 17% Elastano.
DEPORTIVO,63478,03 NEGRO 22 GRIS 24 NEGRO UNICOLOR. 66 VERDE MILITAR,S-M-L,JOGGER,"Este pantalón tipo jogger combina un look deportivo con un diseño moderno para que te veas bien incluso en tus momentos de descanso. Con banda elástica y cordón ajustable en cintura. Su linea en costados y corte en pierna le dan un toque sutil a esta prenda informal y cómoda. No importa si estás descansando en casa o planeas salir a pasear, con sus combenientes bolsillos este pantalón de silueta semiajustada te garantiza un look impecable en todo momento.","BURDA "" GALATA """,Silueta semiajustada. Cintura elástica con cordón de ajuste. Bolsillos laterales. Puños elásticos. Tiro medio. Diseño en laterales. Corte en pierna. Composición: 62% Poliester - 32% Algodón - 4% Elastano.
DEPORTIVO,63424,00 BLANCO 03 NEGRO,S-M-L-XL,SHORT,"Disfruta del running diario con estos shorts de corte clásico y silueta amplia 2 en 1, una prenda icónica creada para llevarte más lejos. Confeccionados en un tejido liviano y fresco con elástico y cordón ajustable en cintura, su short interno con tecnología laftech (protección UV, absorción y secado rápido, y mayor elasticidad, ajuste y comfort) ofrece toda la comodidad que necesitas para completar tus carreras diarias con confianza.",POL-SPX ACTION BASE 3723 / HOLLY,"Silueta amplia. Corte clásico. Short interno. Cintura elástica con cordón de ajuste. Bolsillos laterales. Tiro bajo. Tecnologia Laftech . Protección UV . Absorción y secado rápido. Ajuste, elasticidad y comfort de movimiento. Composición: 15% Lycra - 85% Poliester / 5% Poliester - 5% Spandex."
DEPORTIVO,65938,03 NEGRO,S-M-L,LEGGINS,"Complementa tu guardarropa con este leggin largo de silueta ajustada, con fajón ancho y banda elástica en posterior, y su diseño de talle alto permite que la prenda te envuelva con comodidad y su elasticidad te brinda un ajuste perfecto. Con tejido suave y fresco que mantiene su forma brindándote mayor movimiento y flexibilidad y mayor velocidad de secado y con gráficos que le añaden un toque de brillo y estilo a tus entrenamientos.",VERONA,Silueta ajustada. Fajón ancho. Banda elástica en posterior. Tejido de compresión y control. Transpirable. Secado rápido.  Diseño en laterales Talle alto. Menos costuras. Composición: 83% Poliester - 17% Elastano.
DEPORTIVO,66143,00 BLANCO 03 NEGRO,S-M-L,CAMISETA CROP,"Sin importar la velocidad o la distancia, esta camiseta estilo cropped de cuello redondo y manga corta te permite correr con total libertad. Es ligera y ventilada gracias a su material de malla, silueta holgada y abertura en espalda que ofrece facilidad de movimiento.",CROCHET ITALIA,Silueta holgada. Cuello redondo. Manga corta. Estilo cropped. Malla ligera y trasnpirable. Composición: Nylon 97% - Elastano 3%.
DEPORTIVO,66953,00 BLANCO 03 NEGRO,S-M-L,CAMISETA CROP,"Esta camiseta para entrenamiento de silueta holgada estilo cropped on diseño 3D en frente es perfecta para usar para ir al gimnasio o en tu día a día. Con cuello redondo y manga corta rodada tiene un diseño sencillo y clásico, confeccionada con material ligero y fresco por su gran componente de algodón.",LYCRA FRIA ANDES,Silueta holgada. Cuello redondo. Manga corta. Estilo cropped. Material ligero y fresco. Diseño en 3D en frente. Composición: 94% Algodón - 6% Elastano.
DEPORTIVO,63023,11 GRIS,S-M-L,CAMISILLA,"Te sentirás muy fresca durante y después de tu entrenamiento con esta camisilla deportiva de de malla transpirable suave y ligera que te brinda una mejor ventilación manteniéndote fresca. Es estilo cropped con manga sisa, cuello redondo y de silueta holgada, lo cual te permitirá moverte con total libertad. Ideal para combinar con nuestros leggings, shorts y bikers deportivos.",NYL SPX REF 539 (540),Silueta holgada. Cuello redondo. Manga corta. Estilo cropped. Material ligero y fresco. Diseño en frente. Composición: 81% Nylon - 18% Spandex.
DEPORTIVO,66048,71 NEGRO CROSS,S-M-L-XL,SUDADERA,"Esta versión moderna de la clásica sudadera hará que luces estilo sin sacrificar la comodidad. Su silueta amplia con  bota recta y ajuste mas flojo desde la cadera, cintura con elástico y cordón de ajuste, convenientes bolsillos laterales, sesgos en contraste. Su tejido ligero te brindara comodidad y libertad de movimiento.",BURDA NUEVA FLORIDA,Silueta amplia. Pierna recta. Cintura elástica con cordón de ajuste. Bolsillos laterales. Tiro bajo. Material ligero y fresco. Sesgos de contraste en laterales. Composición: 62% Poliester - 33% Algodón - 4% Spandex.
DAMA,70454,00 BLANCO 03 NEGRO 47 NATURAL 63 ROSA POLVOROSO 67 COBRE NUDE 84 PERLA,S-M-L-XL,BOXER DAMA,"Este panty tipo bóxer con control de abdomen es ideal para ti si te gustan los panties de buen cubrimiento y que te hacen sentir que todo está en su lugar. Elaborado en un material muy suave y ligero te brinda máxima comodidad y su realce natural de cadera se ajusta a tu cuerpo realzando tu figura. Con su refuerzo interno en algodón 100% que te brinda mayor frescura, puedes usarlo en el día a día, o para dormir, ¡es perfecto para cualquier momento!",TABITA / POWERNET ESP / ALGODÓN 100%,"Panty estilo bóxer. Control de abdomen. Realce natural de cadera. Ajuste perfecto que se adapta a tu cuerpo. Máxima comodidad. Tela lisa, ligera y suave al tacto. Refuerzo inferior 100% en algodón. Composición: 79% poliamida, 21% elastano."
DAMA,44971,00 BLANCO 03 NEGRO 06 ROSADO 07 VERDE 19 ROJO 47 NATURAL 67 COBRE NUDE,S-M-L,BRASILERA,"Brasilera semidescaderada, elaborada en Tull suave al tacto. Sus elásticos son ultraplanos y graduables para que no se marquen en la ropa ni en tu piel. Si te encantan las brasileras de poco cubrimiento y que sean muy livianas y ligeras, ¡esta se convertirán en tu favorita!",TABITA / ALGODÓN 100%,"Panty estilo brasilera. Semidescaderada. Elásticos ultraplanos graduables. Elaborada en una tela liviana, ligera y suave al tacto. Se ajusta a tu cuerpo. Refuerzo inferior 100% en algodón para mayor comodidad. Composición: 79% poliamida, 21% elastano."
DAMA,44970,00 BLANCO 03 NEGRO 07 VERDE 19 ROJO 47 NATURAL 67 COBRE NUDE,30-32-34-36,BRASIER MAYOR REALCE,"Este brasier de doble realce te sorprenderá al lograr aumentar hasta dos tallas. Su realce incorporado centra el busto dándote un volumen extremo que te encantará, además te brindará una modelación perfecta y un look muy natural. Es ultraliviano, liso y suave al contacto con la piel y no se marca en la ropa. Las copas están elaboradas con una espuma liviana incorporada que no se deforma, se adapta a la forma del cuerpo y tiene la capacidad de recuperar su forma original. Su espalda de ancho medio te brindara mayor comida ajuste y sus cargadoras ajustables se pueden usar de manera tradicional, cruzadas o al cuello.",TABITA / ALGODÓN 100%,"Brasier doble realce con arco interno. Ideal para busto pequeño y regular. Copas de espuma ultraliviana que aumentan dos tallas de tu copa. Espalda ancho medio. Cargaderas ajustables para uso convencional, cruzadas o al cuello. Cuenta con 3 broches y 4 niveles de ajuste. Composición: 79% poliamida, 21% elastano."
DAMA,43571,00 BLANCO 03 NEGRO 07 VERDE 12 VINOTINTO 19 ROJO 47 NATURAL 63 ROSA POLVOROSO 67 COBRE NUDE,S-M-L,BRASILERA,"Siente la ligereza de este panty semidescaderado estilo brasilera ideal para uso diario. Elaborado en microfibra, un material suave y ligero, y un elástico ultra delgado en cintura que te harán sentir cómoda y fresca.",TABITA / ALGODÓN 100%,"Panty estilo brasilera. Elaborado en microfibra, un material suave al tacto, cómodo y ligero. Elastico ultradelgado en cintura. Refuerzo 100% en algodón para mayor frescura. Semidescaderado. Composición: 79% poliamida, 21% elastano."
DAMA,47070,00 BLANCO 03 NEGRO 06 ROSADO 07 VERDE 10 AZUL 47 NATURAL 63 ROSA POLVOROSO 84 PERLA,30-32-34-36-38-40,BRASIER REALCE NATURAL,"Este brasier de realce natural es perfecto para el día a día ya que es cómodo, liviano y sus copas son muy suaves. No tiene arcos ni varillas, sin embargo su estructura interna soporta bien tu busto, además la profundidad en las copas lo convierte en un bra ideal para busto mediano y grande. Su base y espalda con tecnología de corte limpio y libre de elásticos te brindara comfort y comodidad, y su interior reforzado con Powernet (material para control) le brindara ajuste y firmeza y además estilizará tu espalda. Con cargaderas anchas ajustables que se pueden usar d manera tradicional y cruzadas.",TABITA / POWERNET ESP,"Brasier realce natural de estructura ligera. Sin arcos ni varillas. Copas internas suaves: ideal para busto mediano y grande. Tecnologia de corte limpio. Base y espalda ancha con Powernet. Cargaderas removibles para uso convencional o cruzado. Abrochadura de 4 ganchos y 3 niveles de ajuste. Cargaderas anchas graduables. Composición: 79% poliamida, 21% elastano."
DAMA,34770,00 BLANCO 03 NEGRO,30-32-34-36,BRASIER REALCE NATURAL,"Brasier de silueta triangular sin arco y con realce natural, liviano, cómodo y muy suave al tacto, ¡si! no lo vas a sentir, ¡es pura comodidad!. Sus copas suaves y ligeras te brindaran un escote definido y su elástico en la base del busto le dará más soporte y sus cargaderas son graduables y removibles en la parte de atrás. La abrochadura en espalda cuenta con 3 broches y 4 niveles de ajuste. Úsalo en el día a día o para tus looks durante la noche ¡será uno de tus nuevos favoritos!",PEACH,"Brasier de estructura ligera: realce natural, sin arco, sin varillas. Elástico en base para más soporte. Cargaderas graduables y removibles y en la parte de atrás. 3 broches y 4 niveles de ajuste en espalda. Composición: 95% Poliester, 5% Spandex"
DAMA,33700,00 BLANCO 03 NEGRO,30-32-34-36,BRASIER JUEVNIL,"Este brasier de silueta triangular elaborado en algodón spandex es perfecto para ti si amas la comodidad y la ropa interior desestructurada y ligera. Con copas suaves sin realce que brindan un escote definido su elástico en la base brinda un mejor ajuste, con zeta frontal que soporta, ajusta, cierra y modela, y su espalda es atlética, es decir que sus cargaderas se mantendrán en su lugar todo el tiempo y son graduables para que se adapten a tu cuerpo.",ALGODÓN SPX,"Brasier de silueta triangular. Ideal para busto pequeño y mediano. Úsalo para el día a día, para estar en casa o para sentirte muy cómoda. Copas suaves. Ligero, liviano, cómodo: sin rellenos ni arcos. Elástico en base. Espalda atlética. Cargaderas graduables. Composición: 96% Algodón, 4% Spandex."
DAMA,47080,00 BLANCO 03 NGERO 07 VERDE 47 NATURAL 63 ROSA POLVOROSO 84 PERLA,30-32-34-36-38-40,BRASIER REALCE NATURAL,Brasier de cubrimiento completo y realce natural que te permite lucir un busto más redondeado. Cuenta con copas lisas prehormadas y arco interno. La base y la espalda son más anchas y tiene suaves varillas laterales y un elástico ancho en la base para darle más ajuste y soporte a tu busto. Sus cargaderas ajustables se pueden usar de forma convencional o cruzadas en la espalda.,TABITA / POWERNET ESP,"Brasier de cubrimiento completo y realce natural. Ideal para busto mediano. Elástico ancho en base para mayor ajuste. Espalda ancha con suaves varillas laterales para un mayor soporte. Cargaderas ajustables se pueden usar de forma convencional o cruzadas en la espalda. Abrochadura de 4 ganchos y 4 niveles de ajuste. Composición: 79% poliamida, 21% elastano."
DAMA,46151,00 BLANCO 03 NEGRO 07 VERDE 19 ROJO 79 COBRIZO,S-M-L,BRASILERA,"Esta tanga brasilera semidescaderada es perfecta para uso diario gracias a sus materiales suaves al tacto. Está elaborada en encaje semitransparente que le da una apariencia más romántica y femenina, además es de ajuste perfecto y suave con tu piel y con elástico en pierna para brindar mayor comodidad. Cuenta con un refuerzo inferior 100% en algodón que te brinda mas frescura ¡si te encantan las brasileras, esta querrás tenerla en todos los colores!",ENCAJE / ALGODÓN 100%,"Panty tipo brasilera. Semidescaderada . Ideal para el día a día: cómoda y ligera. Encaje suave. Refuerzo en algodón 100%. Elastico en pierna. Composición: 14% Elastano, 86% Poliamida"
DAMA,47100,00 BLANCO 03 NEGRO 47 NATURAL 68 AZUL NAVY 79 COBRIZO,30-32-34-36,BRASIER REALCE MEDIO,"Este brasier tipo strapless de copa lisa y realce medio te encantará, ya que está pensado para mujeres de busto pequeño y mediano que buscan darle un efecto más redondeado al escote. Tanto la base como la espalda están elaboradas en encaje delicado lo que le dará un toque muy sexy, además, la base interna cuenta con elástico tela Powernet y varillas laterales, lo que brinda una excelente modelación y soporte. Sus cargaderas graduables son  removibles  para que las uses de forma convencional, cruzadas, al cuello (Halter) o strapless , perfecto para cualquier ocasión de uso.",TABITA / POWERNET ESP / ENCAJE,"Brasier tipo strapless. Ideal para mujeres con busto pequeño y mediano. Copa lisa y realce medio. Elástico en base y powernet interno para mejor modelación . Con encaje suave y delicado. Cargaderas graduables y multiusos. Abrochadura con 3 posiciones y 4 niveles de ajuste. Composición: 79% poliamida, 21% elastano. - 14% Elastano, 86% Poliamida"
DAMA,43574,00 BLANCO 03 NEGRO 07 VERDE 19 ROJO 47 NATURAL 63 ROSA POLVOROSO 67 COBRE NUDE 79 COBRIZO,S-M-L-XL,CACHETERO,"Panty estilo cachetero de silueta semidescaderada. Con corte anatómico y de ajuste perfecto elaborado en tela elástica lisa, fresca y suave. Cuenta con muy buen cubrimiento en laterales y en los glúteos, la ausencia de elásticos permite que no se marque en prendas exteriores y su refuerzo inferior en algodón te hará sentir muy fresca ¡es perfecto para el día a día!",TABITA / ALGODÓN 100%,"Panty cachetero elaborado en tela elástica lisa. Buen cubrimiento en laterales y glúteos. Sin elásticos, no se marca en las prendas. Corte anatomico para mejor ajuste.. Refuerzo 100% en algodón para mayor frescura. Composición: 79% poliamida, 21% elastano."
DAMA,44530,00 BLANCO 03 NGRO 12 VINOTINTO 19 ROJO,32-34-36,BRASIER MAYOR REALCE,"Experimenta la sensualidad de este brasier de realce alto y escote profundo, ya que su realce incorporado en las copas atómicas le aporta volumen a tu busto. Sus arcos en la parte inferior te brindan mayor soporte. Sus copas lisas son ideales para usarlo con ropa ajustada ya que no se marca en la ropa exterior y su broche magnético frontal facilitara su postura. Sus cargaderas graduables te permitirán ajustarlo a tu cuerpo y su espalda con diseño cruzado te brindara comodidad y soporte.",TABITA,"Brasier de escote profundo y realce alto con arcos internos. Ideal para busto mediano y grande. Realce anatomico. Broche frontal magnetico. Cargaderas graduables. Espalda cruzada. Composición: 79% poliamida, 21% elastano."
DAMA,45386,00 BLANCO 03 NGRO,30-32-34-36-38,TOP,"Brasier tipo top con copas suave y cubrimiento total del busto, con detalle de tul y cierre frontal que facilita su postura. Su material es ligero por lo que te sentirás fresca y seca en todo momento durante tus entrenamientos. El elástico ancho en la base le brinda soporte al busto. Cuenta con doble capa de tela en las copas para evitar transparencias. Su espalda es de silueta atlética para que te sientas muy libre en tus movimientos. El detalle de media luna en el centro de la espalda deja ver tu piel: además de facilitar la transpiración es perfecto para lucir su diseño con camisetas de silueta amplia, espalda escotada o incluso como prenda única superior. Es ideal para ir al gimnasio, bailar, caminar, trotar o para usar en el día a día.",TABITA / ALGODÓN 100%,"Brasier tipo top con cubrimiento total. Copas suaves. Material ligero y fresco. Cierre frontal. Detalle en tul en cargaderas y espalda para facilitar transpiración. Libertad de movimiento gracias a su espalda atlética. Composición: 79% poliamida, 21% elastano."
DAMA,47820,00 BLANCO 03 NEGRO 47 NATURAL 79 COBRIZO,30-32-34-36-38,BRACIER REALCE NATURAL,"Al tener la estructura de un brasier y la comodidad de un top, este bra se convertirá en tu nuevo favorito para el día a día. Realizdo en un material con tecnología Non-spacer, es decir, permite el flujo del aire, cuenta con secado rápido y recupera su forma tras usos y lavados. Sus copas te brindan un realce natural y no cuentan con arcos. Tiene muy buen soporte gracias al Powernet interno, un material de control que ayuda a que la prenda tenga mayor ajuste. Además, el escote semirrecto en la parte superior te brindará la seguridad y el cubrimiento que te gusta tener todos los días. Su espalda es ancha es de muy buen cubrimiento y las cargaderas son graduables y anchas para que te sientas mucho mas cómoda.",MALLORCA / TABITA / POWERNET,"Top realce natural. Ideal para mujeres de busto pequeño y mediano. Estructura interna con copas suaves y sin arcos. Escote recto con buen cubrimiento del busto que te da seguridad y comodidad. Powernet interno para mejor ajuste. Material con tecnologia Non-spacer (secado rápido, flujo de aire y recuperación de forma) Espalda ancha de buen cubrimiento. Abrochadura de 4 ganchos y 4 niveles de ajuste. Composición: 66% Poliamida 34% Elastano -  79% Poliamida, 21% Elastano - 14% Elastano, 86% Poliamida."
DAMA,47641,03 NEGRO 19 ROJO 68 AZUL NAVY,S-M-L,BRASILERA,"Brasilera de silueta descaderada, elaborada en encaje suave y delicado, que te hará sentir femenina y sensual. Sus elásticos son ultraplanos y graduables para que no se marquen en la ropa ni en tu piel, y su refuerzo interno en algodón te hará sentir muy fresca .Si te encantan las brasileras de poco cubrimiento y que sean muy livianas y ligeras, ¡esta se convertirán en tu favorita!",ENCAJE / ALGODÓN 100%,"Panty estilo brasilera. Silueta descaderada. Elásticos ultraplanos graduables. Elaborada en encaje suave y delicado. Se ajusta a tu cuerpo. Refuerzo inferior 100% en algodón para mayor comodidad. Composición: 91% poliamida, 9% elastano."
DAMA,46156,00 BLANCO 03 NEGRO 07 VERDE 19 ROJO 79 COBRIZO,32-34-36,BRALETTE,"Si te encanta sentirte libre y cómoda con la ropa interior que usas, este bralette es perfecto para usarlo todos los días. No tiene arcos ni varillas, es liviano, ligero y cuenta con un elástico interno en la base que permite que se mantenga en su lugar. Sus cargaderas son ajustables para que las adaptes a tu contorno y puedes usarlas de manera convencional o cruzada al cuello. Sus copas cuentan con doble capa de tela: encaje suave y delicado en el exterior y un tull que te brindara mayor cubrimiento.",ENCAJE / TULL,"Bralette silueta triangular. Desestructurado, ligero, cómodo. Encaje ligero y delicado con tull interno para mejor cubirmiento. Elastico interno en base. Cargaderas graduables para que las ajustes a tu cuerpo, se pueden usar de forma convencional o cruzadas en espalda. Sin abrochadura. Composición: 86% poliamida, 14% elastano."
