linea,referencia,color,talla,producto,descripcion,tela,detalles
DAMA,33704,00 BLANCO. 03 NEGRO,S-M-L,CACHETERO JUVENIL,"Cachetero juvenil de silueta semidescaderada, está elaborado en algodón spandex y elástico interno en cintura permitiendo que se adapte perfectamente a tu cuerpo y te brinde máxima frescura. Las costuras son ultraplanas para evitar que se marque en la ropa y maltraten la piel, te dará una apariencia invisible. Es ideal para que te sientas muy cómoda en los momentos en los cuales quieras descansar en casa, tomar un espacio para ti o para tus looks más descomplicados.",ALGODÓN SPX / ALGODÓN 100%,"Cachetero juvenil silueta semidescaderada. Elastico interno en cintura para mayor ajuste. No se marca en la ropa. Refuerzo inferior 100% en algodón para mayor comodidad. Algodón spandex. Composición: 96% algodón, 4% spandex."
DAMA,48941,00 BLANCO 03 NEGRO 84 PERLA,S-M-L-XL,BRASILERA,"Siente la ligereza de esta brasilera semidescaderada ideal para uso diario. Hecha con tul, resulta extremadamente cómoda, fresca y con un toque sensual. Con elásticos en pierna y cintura para mayor ajuste, son suaves con la piel y la tela reforzada con algodón te garantizará comodidad durante el día. ¡Ponte moderna, divertida y cómoda con esta brasilera!",TULL / ALGODÓN 100%,"Panty tipo brasilera. Semidescaderada. Elaborada en tull, material ligero y fresco. Elásticos suaves en pierna y cintura. Refuerzo 100% en algodón para mayor frescura. Composición: 94% poliamida, 6% elastano."
DAMA,48904,00 BLANCO 03 NEGRO 84 PERLA,S-M-L-XL,BOXER DAMA,"Este cachetero de tiro alto cuenta con un elastico en cintura y está elaborado en un material muy suave y ligero que se ajusta a tu cuerpo y te brinda máxima comodidad. Es ideal para ti si te gustan los panties de buen cubrimiento y que te hacen sentir que todo está en su lugar. Su refuerzo interno en algodón 100% te brinda mayor frescura, !úsalo en el día a día, o para dormir, es perfecto para cualquier momento!",ALGODÓN SPX / ALGODÓN 100%,"Panty estilo cachetero. Elástico en cintura para ajuste perfecto que se adapta a tu cuerpo. Máxima comodidad. Algodón spandex, liso, ligero y suave al tacto. Refuerzo inferior 100% en algodón para mayor confort y frescura. Composición: 96% algodón, 4% spandex."
DAMA,48912,00 BLANCO 03 NEGRO 84 PERLA,S-M-L-XL,CACHETRO,"La comodidad empieza por la ropa interior. Panty tipo cachetero de tiro medio, elaborado en tela lisa muy suave al tacto y elásticos en las piernas que te dará total comodidad, además su corte anatómico se ajusta a tu cuerpo. Su detalle de encaje en la cintura le da un toque muy romántico y femenino.",ALGODÓN SPX / ALGODÓN 100% / ENCAJE,"Panty tipo cachetero tiro medio. Corte anatómico y elásticos en piernas para mejor ajuste. Elaborado en una tela fresca, suave y lisa. No se marca en la ropa ni en la piel. Detalle de encaje en cintura. Composición: 96% algodón, 4% spandex - 91% poliamida, 9% elastano."
DAMA,48921,00 BLANCO 03 NEGRO 84 PERLA,S-M-L-XL,BRASILERA,"Panty estilo brasilera de tiro medio con encaje decorativo en cintura y pierna para un toque femenino, te encantara su comodidad y excelente modelación. Está elaborada en una microfibra que se ajusta perfectamente a tu cuerpo y te brinda máxima frescura. Su refuerzo inferior 100% en algodón te mantendrán fresca y a gusto todo el tiempo.",CORALINA / ENCAJE / ALGODÓN 100%,"Brasilera de tiro medio. Elaborada en microfibra suave para máxima comodidad y excelente modelación. Encaje decorativo en cintura y piernas para un toque más femenino. Refuerzo inferior 100% en algodón para mayor comodidad. Composición: 77% poliéster, 23% elastano - 91% poliamida, 9% elastano."
DAMA,48911,00 BLANCO 03 NEGRO 84 PERLA,S-M-L-XL,BRASILERA,"Panty estilo brasilera de tiro medio con encaje decorativo en cintura. Está elaborada en algodón elástico que se ajusta perfectamente a tu cuerpo y te brinda máxima frescura. Elásticos planos en piernas para evitar que se marque en la ropa y maltrate la piel, te dará una apariencia invisible, perfecta para usar con prendas ajustadas. Refuerzo inferior 100% en algodón para mayor comodidad.",ALGODÓN SPX / ALGODÓN 100% / ENCAJE,"Brasilera de tiro medio. Elaborada en algodón elástico suave para máxima comodidad y excelente modelación. Encaje decorativo en cintura para un toque más femenino. Refuerzo inferior 100% en algodón para mayor comodidad.. Composición: 96% algodón, 4% spandex - 86% poliamida, 14% elastano."
DAMA,48850,00 BLANCO 03 NEGRO 84 PERLA,32-34-36,BRASIER REALCE MEDIO,"Este brasier strapless está diseñado para que resalte tu escote a la perfección. Cuenta con copas suaves con arcos internos para una modelación redondeada y esta reforzado en el centro para mayor soporte, y una base ancha con un elástico en base expuesto para una silueta estilizada.",CORALINA / TASKIN / POWERNET ESP,"Brasier strapless. Copas suaves y arco. Refuerzo interno en centro. Cargaderas para uso convencional, cruzado, halter, o sin ellas como strapless. Abrochadura de 2 ganchos y 3 niveles de ajuste. Composición: 77% poliéster, 23% elastano - 79% poliamida, 21% elastano."
DAMA,48860,00 BLANCO 03 NEGRO 84 PERLA,32-34-36-38,BRASIER REALCE NATURAL,"Descubre la armonía perfecta entre sensualidad y comodidad con nuestro Brasier de copa triangular. Es ligero y ultracómodo: no cuenta con arcos, ni relleno en copas, ni varillas laterales. Sus copas suaves y ligeras hacen que tu busto luzca natural y con una modelación más redondeada. El elástico en la base ayuda a soportar tu busto cómodamente y además, al estar recubierto en encaje, logras un look muy sexy. Sus cargaderas son fijas y graduables.",CORALINA / ENCAJE,"Brasier de escote profundo. Encaje en la base, laterales y espalda. Ideal para mujeres de busto pequeño y mediano. Copas suaves y ligeras. Cómodo y liviano. Sin arcos ni varillas. Cargaderas graduables y fijas. Abrochadura de 3 ganchos y 4 niveles de ajuste. Composición: 77% poliéster, 23% elastano - 805 poliamida, 20% elastano."
DAMA,48960,00 BLANCO 03 NEGRO 84 PERLA,32-34-36-38,BRASIER REALCE NATURAL,"Este brasier tipo top es la combinación perfecta entre soporte, confort y cubrimiento. Su tacto es muy suave y su estructura muy liviana: lo amarás cuando te lo pongas. Cuenta con  copas fijas suaves que le dan una modelación redondeada a tu busto. El escote, los laterales de la sisa y la espalda son de cubrimiento alto. Además, en la parte interna de la espalda, la base del busto y la sisa está elaborado con un material de compresión (Powernet) y el frente esta adornado por una blonda suave y delicada. Es un brasier de uso diario ¡elígelo para todo! Para salir, estar en casa, dormir o hacer ejercicio. Sus cargaderas fijas son graduables y ultraplanas,y su abrochadura es de 4 ganchos y 4 niveles de ajuste.",CORALINA / BLONDA / POWERNET,"Brasier tipo top ideal para el uso diario. Copas suaves y sin arcos. Alto cubrimiento en espalda y sisa: luce más estilizada. Menos costuras para una apariencia más sutil. Tacto ultrasuave. Estructura liviana. Blonda en escote para un toque delicado y femenino. Powernet interno que genera compresión y ajuste. Cargaderas fijas ajustables y abrochadura de 4 broches y 4 ajustes. Composición: 77% poliéster, 23% elastano - 79% poliamida, 21% elastano."
DAMA,48880,00 BLANCO 03 NEGRO 84 PERLA,32-34-36-38,BRASIER MAYOR REALCE,Experimenta la sensualidad de este brasier natural que ofrece un cubrimiento perfecto. Su corte anatómico y sus arcos en la parte inferior te garantizan una mejor modelación y comfort. Sus copas lisas son ideales para usarlo con ropa ajustada ya que no se marca en la ropa exterior. Cuenta con un material de control en el interior y un elástico en base y espalda brindar un mayor soporte sin dejar de ser cómodo. Con cargaderas graduables y abrichadura de 3 posiciones y 4 ajustes es perfecto para que tú misma gradúes el punto en el que sea más cómodo para ti.,CORALINA / MALLORCA / POWERNET,"Brasier realce natural y cubrimiento alto. Ideal para busto mediano y grande. Copas prehormadas. Doble tela en frente y espalda para control suave. Elástico en base para mejor ajuste a tu contorno. Cargaderas graduables. Abrochadura de 3 posiciones y 4 niveles de ajuste. Composición: 77% poliéster, 23% elastano - 66% poliamida 34% elastano - 79% poliamida, 21% elastano."
DAMA,48890,00 BLANCO 03 NEGRO 84 PERLA,32-34-36-38,BRASIER REALCE MEDIO,"Descubre la comodidad y la naturalidad en su máxima expresión con nuestro brasier, diseñado para un realce medio y una cobertura superior, con varillas que acentúa tu escote, copas suaves y ligeras que te brindan un ajuste cómodo y natural. Su base y espalda internos cuentan con un material de control (powernet) que proporciona un soporte óptimo y una modelación impecable para que te sientas segura y con confianza en cualquier ocasión. Cargaderas graduables y abrochada de 2 posiciones y 4 espacios.",CORALINA / POWERNET,"Brasier triangular realce medio y cubrimiento alto. Copas lisas. Doble tela en frente y espalda para control suave. Elástico en base para mejor ajuste a tu contorno. Cargaderas graduables. Abrochadura de 2 posiciones y 4 niveles de ajuste. Composición: 77% poliéster, 23% elastano - 79% poliamida, 21% elastano."
DAMA,48840,00 BLANCO 03 NEGRO 84 PERLA,32-34-36-38,BRASIER REALCE NATURAL,"El diseño impecable de este brasier con realce natural y cubrimiento medio te encantará ¡querrás hacerlo parte de tu día a día! Es un t-shirt bra, es decir que su diseño es discreto bajo la ropa para que no tengas marcas visibles en tus camisetas, blusas o vestidos. No cuenta con arcos y su estructura es muy liviana lo que te brindara mayor comida y sus cargaderas son graduables y removibles en el posterior. Abrochadura de 2 posiciones y 3 espacios.",CORALINA,"Brasier realce natural y cubrimiento medio. Sin arcos ni varillas. T-shirt bra: diseño discreto bajo la ropa. Cargaderas graduables multiusos: convencional o cruzado. Material suave y ligero, que te dará mayor comodidad.. Abrochadura de 2 posiciones y 3 niveles de ajuste. Composición: 77% poliéster, 23% elastano."
DAMA,48840,00 BLANCO 03 NEGRO 84 PERLA,32-34-36-38,BRASIER REALCE NATURAL,"Siéntete sexy, segura e imparable con este brasier strapless. El encaje en contraste que recubre la base y los laterales le da un toque sensual y femenino. Sus copas suaves en espuma le dan una modelación más redondeada al busto y los arcos internos te dan mayor soporte. La parte interna, en la espalda y los laterales del busto están elaborados en nuestro material de compresión Powernet, para darle una apariencia más estilizada y el elástico interno ayuda a mantener el bra siempre en su lugar. Sus varillas laterales le dan mayor ajuste y su base ancha lo convierten en la prenda perfecta para usar como strapless.",CORALINA / BLONDA / POWERNET,"Brasier strapless con arcos internos.  Encaje en contraste para un toque sexy y diferente. Ideal para busto mediano y grande. Copas suaves de cubrimiento medio. Espalda ancha y laterales del busto elaborados internamente en Powernet: nuestro material de compresión que estiliza esta zona de tu cuerpo. Varillas laterales suaves y elásticos anchos en base, que aseguran que el bra permanezca en su lugar. Cargaderas removibles para uso convencional, cruzado, halter o strapless. Abrochadura con 6 ganchos y 4 niveles de ajuste. Composición: 77% poliéster, 23% elastano - 79% poliamida, 21% elastano."
DAMA,34774,03 NEGRO (00 BLANCO),S-M-L,CACHETERO JUVENIL,"Es hora de que sientas toda la comodidad que te mereces, con este panty estilo cachetero de silueta semidescaderada, elástico expuesto en cintura y piernas libres de elástico para mayor sensación de comodidad. Está elaborado algodón spandex lo que le permite ajustarse a tu cuerpo y te da una modelación ideal. Es perfecto para el día a día, para dormir o para estar muy cómoda en casa.",ALGODÓN SPX / ALGODÓN 100%,"Cacheterode muy buen cubrimiento en glúteos. Elástico expuesto en cintura. Tela elástica y cómoda. Refuerzo inferior 100% en algodón para mayor comodidad. Composición: 96% algodón, 4% spandex."
DAMA,45200,06 ROSADO 47 NATURAL 52 PALO DE ROSA,32-34-36,BRACIER REALCE NATURAL,"¿Tienes ganas de verte increíble? Este brasier de silueta triangular sin arco, copas lisas triangulares estampadas y detalle en base en encaje hará que te enamores a primera vista. Al ser media copa hace que tu escote se vea ¡increíble! Su espalda con corte anatómico y su elástico en base te brindan una excelente modelación y ajuste, y el detalle de encaje le da ese toque sexy que te gusta. Sus cargaderas son graduables y removibles para que las uses de forma convencional o cruzada. Su espalda es delgada, sutil, de poco cubrimiento y cuenta con una abrochadura de 3 broches y 4 ajustes.",TABITA / ENCAJE,"Brasier silueta triangular.. Ideal para busto mediano. Elástico en base para buen soporte de busto. Copas suaves sin realce (estampadas). Sin arcos. Espalda corte anatomico. Cargaderas graduables removibles en espalda para uso convencional o cruzado. Abrochadura de 3 broches y 4 niveles de ajuste. Composición: 79% Poliamida, 21% Elastano - 85% Poliamida, 15% Elastano"
DAMA,44450,00 BLANCO 03 NEGRO 19 ROJO 47 NATURAL,32-34-36,BRACIER DOBLE REALCE,"Experimenta la sensualidad de este brasier de doble realce, sus copas están elaboradas en una espuma de mayor espesor que levanta, centra y realza creando la ilusión de un busto más grande. Sus arcos en la parte inferior te brindaran mayor soporte, y sus copas lisas son ideales para usarlo con ropa ajustada ya que no se marca en la ropa exterior. Su espalda de nacho medio te proporcionara mayor comodidad y segura y sus cargaderas graduables junto con su abrochadura de 2 broches y 4 ajustes te permitirán que lo gradúes hasta el punto en el que sea más cómodo para ti.",TABITA / TULL / ALGODÓN,"Brasier doble realce con arcos internos. Ideal para busto mediano y grande. Copas prehormadas y elástico en la base para mayor soporte. Doble tela en espalda con elásticos para mejor ajuste a tu contorno. Cargaderas graduables y removibles para uso convencional o cruzado. Abrochadura de 2 posiciones y 4 niveles de ajuste. Composición: 79% Poliamida, 21% Elastano - 94% Poliamida, 6% Elastano."
DAMA,45204,00 BLANCO 06 ROSADO 11 GRIS 52 PALO DE ROSA,S-M-L,CACHETERO,Este cachetero semidescaderado es la combinación perfecta entre una prenda cómoda y sexy. Su encaje en laterales es delicado y suave al tacto.  Con corte anatómico que se ajusta perfectamente al cuerpo y libre de elásticos por lo que no se marca en prendas exteriores. Su refuerzo inferior en algodón te dará una sensación de frescura y comodidad al uso ¡querrás usarlo todos los días!,ENCAJE / TABITA / ALGODÓN,"Cachetero semidescaderado.  Buen cubrimiento en los laterales. Corte anatomico. Sin elásticos. Cómodo y ligero. Encaje enlaterales. Suave al tacto. Refuerzo 100% en algodón. Composición: 79% Poliamida, 21% Elastano - 85% Poliamida, 15% Elastano."
DAMA,41630,00 BLANCO 03 NEGRO 47 NATURAL,30-32-34-36,BRACIER REALCE ALTO,"Este brasier de realce alto te sorprenderá, cuenta con tres cargaderas que tres brindaran mayor realce, dos cargaderas tradicionales ajustables que realzaran tu busto y una cargadora al cuello tipo halter que aumentara su volumen, además te brindará una modelación perfecta. Es ultraliviano, liso y suave al contacto con la piel y no se marca en la ropa. Las copas están elaboradas con una espuma liviana  que no se deforma y ademas son transpirables. Su espalda cuenta con muy buena capacidad de elongación y su abrochada es de 2 broches y 4 ajustes.",TABITA,"Brasier realce alto. Ideal para busto pequeño y regular. Copas de espuma ultraliviana transpirables. Espalda con muy buena capacidad de elongación para que te sientas siempre cómoda. Tres cargaderas: dos de uso convencional ajustables y una al cuello tipo halter. Cuenta con 2 broches y 4 niveles de ajuste. Composición: 79% poliamida, 21% elastano."
DAMA,47704,48 MAUVE. 52 PALO DE ROSA,S-M-L-XL,CACHETERO,"Los cacheteros llegaron para quedarse ya que son la mezcla perfecta entre cubrimiento medio, comodidad y estilo. Este panty cachetero semidescaderado, ligero y de apariencia invisible, ya que cuenta con  corte anatómico y sus piernas son libres de elásticos. Su elástico en cintura es muy plano y cómodo, evitando que se marque en tu piel y se vea en la ropa exterior.",TABITA / ALGODÓN 100%,"Panty cachetero. Semidescaderado. Corte anatomico. Elástico ultraplano en cintura. Aspecto invisible.. Refuerzo inferior en algodón para total comodidad. Composición: 79% poliamida, 21% elastano."
MASCULINO,24044,00 BLANCO 03 NEGRO 10 AZUL 11 GRIS,S-M-L-XL,BOXER LARGO,"Este bóxer ajustado con buen cubrimiento en las piernas se ajusta perfectamente a tu cuerpo dándote libertad de movimiento y además es muy suave al tacto, su panel delantero en pinza que recoge, realza y brinda protección. Está elaborado en algodón spandex para que sientas total comodidad en tu día a día.",ALGODÓN SPX,"Bóxer en algodón spandex con buen ajuste al cuerpo que te da libertad de movimiento. Silueta: bóxer largo. Con panel delantero en pinza que recoge, realza y brinda protección. Suave elástico que se ajusta en la cintura sin dejar marcas. Composición: 96% algodón, 4% spandex."
MASCULINO,25494,SURTIDO 1 (56) (00 BLANCO 03 NEGRO) SURTIDO 2 (57) (10 AZUL 11 GRIS),S-M-L-XL,BOXER MEDIO,"La parte frontal de este bóxer silueta media fue pensada y elaborada para darte toda la seguridad y comodidad que necesitas, gracias a su panel que recoge, realza y brinda protección. Está elaborado con algodón Spandex que te brinda frescura y es suave al contacto con la piel. Comprueba su ajuste y comodidad, ¡será un básico en tu ropa y en tu día a día!",ALGODÓN SPX,"Bóxer en algodón spandex con buen ajuste al cuerpo que te da libertad de movimiento. Silueta: bóxer Medio. Con panel delantero en pinza que recoge, realza y brinda protección. Suave elástico que se ajusta en la cintura sin dejar marcas. Composición: 96% algodón, 4% spandex."
BAÑO,96837,03 NEGRO 04 MARFIL 66 VERDE MILITAR 68 AZUL NAVY,S-M-L-XL,SHORT,Siéntete muy cómoda y fresca con esta salida de baño tipo short corto elaborado en material suave y ligero. Su silueta es semiajustada y su elástico en cintura permite que se adapte a tu contorno y que sea muy fácil para ponértelo. Combínalo con tus vestidos de baño favoritos y llévalo a todas partes ya que es muy liviano y muy fácil de doblar y guardar.,ALGODÓN SPX,Salida de baño tipo short. Elaborado en Rayon Viscosa. Elástico en cintura. No cuenta con bolsillos. Multipropósito: look de playa o exterior. Composición: 100% Rayon
BAÑO,94137,03 NEGRO 04 MARFIL 66 VERDE MILITAR,S-M-L-XL,VESTIDO (PAREO),¡Fresca y linda en todo momento! Este vestido playero será tu compañero para tus vacaciones: úsalo al salir de la piscina o simplemente para caminar por la playa. Esta hecho en un material tipo malla que te hará sentir fresca todo el tiempo. Además cuenta con flecos decorativos en cuello y ruedo para darle un toque divertido. ¡Es el complemento perfecto para tus looks de playa!.,MALLA BRISA,"Vestido corto para la playa. Realizado en material tipo malla lo que te dará máxima frescura. Su silueta amplia, te permite moverte con total libertad. Cuello en V. Detalle de flecos en cuello y ruedo. Composición: 90% poliéster, 10% elastano."
BAÑO,97409,03 NEGRO 19 ROJO 66 VERDE MILITAR 68 AZUL NAVY 87 NARANJA NEON,32-34-36,TOP TRIANGULAR,Si te gustan los bikinis de poco cubrimiento y anudables para que puedas ajustarlo a tu cuerpo o incluso soltar las cargaderas mientras te bronceas ¡este top triangular es para ti! Cuenta con copas removibles semiblandas y es anudable en el cuello y en la espalda.,BARANOA,"Bikini triangular tipo halter. Top ligero y liviano. Copas removibles semiblandas. Anudable en cuello y espalda. Copas tipo cortina para que elijas el cubrimiento y para que puedas desplazarlas en la base. Material resistente al cloro. Con protección UV Composición: 81% poliamida, 19% elastano."
BAÑO,95105,03 NEGRO 19 ROJO 66 VERDE MILITAR 68 AZUL NAVY,32-34-36-38,ENTERO,"Este vestido de baño entero con copas fijas semiblandas moldea tus curvas ya que cuenta con forro en Powernet un material que permite un control suave de abdomen. Además su forro interno tiene una estructura que permite la salida del agua en la arena. Sus cargaderas son graduables y removibles para que lo uses de forma convencional, cruzada, halter o strapless.",BARANOA/ POWERNET,"Vestido de baño entero con control suave de abdomen. Copas fijas semiblandas. Detalle de transparencias en abdomen. Cargaderas graduables para uso convencional, cruzadas, halter o strapless. Material resistente al cloro. Con protección UV Composición: 81% poliamida, 19% elastano - 79% poliamida, 21% elastano."
BAÑO,96594,03 NEGRO 66 VERDE MILITAR 87 NARANJA NEON,S-M-L-XL,CACHETERO,Panty de baño con silueta cachetero que proporciona un cubrimiento medio. Cuenta con elástico interno en la pretina para mayor ajuste y soporte.,BARANOA,Silueta cachetero Cubrimiento medio  Elástico en pretina Material resistente al cloro. Con protección UV Composición: 81% Poliamida 18.98% Elastano
BAÑO,98602,03 NEGRO,S-M-L-XL,PANTY,"Este panty tiro medio sera tu complice en tus días de playa, cuenta con un recogido en posterior que genera un efecto visual de levanta cola. Este panty tipo tanga con su tecnología de protección UV te dará toda la comodidad que necesitas. ¡Date un lujo! ",BAHIA STOCK,"Panty tiro medio. Elástico recogido en el centro de posterior para modelación redondeada. Tela con protección UV Composición: 20% Lycra, 80% Poliester."
BAÑO,96762,03 NEGRO 66 VERDE MILITAR 87 NARANJA NEON,S-M-L-XL,PANTY TIRO ALTO,Panty tiro con forro interno en material Powernet que te brinda un control de abdomen medio. Con buen cubrimiento en posterior para que te sientas mas cómoda. También te encantará saber que cuenta con tecnología de protección UV y su material es resistente al cloro.,BARANOA/ POWERNET,"Panty de tiro alto que estiliza visualmente tu figura. Forro interno en Powernet que brinda control de abdomen. Buen cubrimiento el posterior. Tecnologia de protección UV. Resistencia al cloro que da mayor durabilidad a la prenda. Composición: 81% poliamida, 19% elastano - 79% poliamida, 21% elastano."
BAÑO,93831,03 NEGRO 19 ROJO 87 NARANJA NEON 66 VERDE MILITAR 68 AZUL NAVY,S-M-L,BRASILERA,"Este panty tipo brasilera de silueta semidescaderada es anudable en los laterales para que te sientas tan cómoda como tú lo elijas, y también para que sea más fácil soltarlo al momento de aplicarte más bronceador. Además, sus elásticos delicados en pierna y cintura te brindara un mejor modelación y comodidad.",BARANOA,"Panty anudable y graduable en los laterales. Elásticos delicados en pierna y cintura. Composición: 81% poliamida, 19% elastano"
BAÑO,97377,03 NEGRO 66 VERDE MILITAR 68 AZUL NAVY,S-M-L,PANTALON,"Este pantalón playero con elástico en la cintura es ideal para lucir con más estilo, realizada en malla y con su silueta holgada te sentirás fresca y cómodaa en tus dias de playa.",MALLA MELBORUNE,"Pantalón playero con elástico en la cintura. Realizado en malla delgada y ligera. Bota amplia, Composición: 7% elastomero, 93% poliamida."
BAÑO,97029,00 BLANCO,32-34-36,CROP TOP,"Crop top de baño tipo halter con copas fijas semiblandas, tirantes para cruzar y anudar en espalda y además, tiene elástico en la base que le da soporte a tu busto en todo momento. Este nuevo top es multiusos y puedes usarlo como vestido de baño o como exterior ¡No lo pienses más! tienes que tenerlo.",NYLON SPANDEX,"Creo top estilo halter. Tirantes de anudar y cruzar en espalda. Copas fijas semiblandas. Elastico en base para mejor soporte de busto. Multiusos, para baño y exterior. Composición:"